Station_Id,Station_Name,Station_Lat,Station_Lon,Station_Docks,Overall,Weekday,Weekend
305,"Kennington Lane Tesco, Vauxhall",51.486779,-0.115853,15,13.92857143,14.55,12.375
306,"Rathbone Street, Fitzrovia ",51.518162,-0.135025,16,22.78571429,28.25,9.125
307,"Black Lion Gate, Kensington Gardens",51.509908,-0.187842,24,130.9285714,103.05,200.625
308,"Long Lane, Bermondsey",51.499075,-0.085666,20,27.75,31.4,18.625
309,"Embankment (Savoy), Strand",51.509631,-0.119047,40,31.64285714,32.95,28.375
31,"Fanshaw Street, Hoxton",51.529537,-0.083353,36,37.60714286,40.8,29.625
310,"Black Prince Road, Vauxhall",51.490867,-0.116911,19,30.42857143,33.1,23.75
312,"Grove End Road, St. John's Wood",51.530889,-0.17677,20,25.46428571,27.2,21.125
313,"Wells Street, Fitzrovia ",51.517344,-0.138072,38,45.53571429,56.45,18.25
314,"Tyers Gate, Bermondsey",51.500889,-0.083159,36,23.96428571,28.2,13.375
315,"The Tennis Courts, The Regent's Park",51.525367,-0.153463,16,27.5,22.9,39
317,"Dickens Square, Borough",51.496791,-0.093913,32,11.03571429,12.8,6.625
318,"Sackville Street, Mayfair",51.510048,-0.138846,18,34.92857143,36.65,30.625
319,"Baldwin Street, St. Luke's",51.527025,-0.088542,21,40.64285714,47.9,22.5
32,"Leonard Circus, Shoreditch",51.524696,-0.084439,43,75.53571429,93.45,30.75
320,"Queen Mother Sports Centre, Victoria",51.493573,-0.139956,26,46.17857143,51.8,32.125
321,"Bermondsey Street, Bermondsey",51.497855,-0.081608,24,56.25,62.65,40.25
322,"Palissy Street, Shoreditch",51.526293,-0.073955,26,21.96428571,23.55,18
323,"Clifton Street, Shoreditch",51.523196,-0.083067,24,19.96428571,26.4,3.875
324,"Ontario Street, Elephant & Castle",51.49652,-0.101384,15,33.42857143,39.5,18.25
325,"St. Martin's Street, West End",51.509087,-0.129697,18,24.92857143,25,24.75
326,"Graham Street, Angel",51.532661,-0.099981,25,57.28571429,63.7,41.25
327,"New North Road 1, Hoxton",51.53095,-0.085603,22,13.35714286,14.65,10.125
328,"New North Road 2, Hoxton",51.53114,-0.086016,22,17.60714286,19.35,13.25
329,"Prince Albert Road, The Regent's Park",51.535892,-0.160854,24,35.89285714,29.75,51.25
33,"Central House, Aldgate",51.5156,-0.070056,18,46.5,46.8,45.75
330,"Eastbourne Mews, Paddington",51.516417,-0.179135,34,49.60714286,63.75,14.25
331,"Bunhill Row, Moorgate",51.520858,-0.089887,30,56,69.05,23.375
332,"Nevern Place, Earl's Court",51.493343,-0.194757,20,17.57142857,18.5,15.25
333,"Palace Gardens Terrace, Notting Hill",51.508605,-0.193764,37,45.85714286,51.75,31.125
334,"Concert Hall Approach 1, South Bank",51.505044,-0.115851,10,23.75,24.15,22.75
335,"Tavistock Street, Covent Garden",51.511968,-0.120718,33,70.35714286,78.5,50
336,"Concert Hall Approach 2, South Bank",51.504942,-0.115533,18,29.60714286,34.1,18.375
337,"Pembridge Villas, Notting Hill",51.511084,-0.197524,16,22.5,21.65,24.625
339,"Risinghill Street, Angel",51.533319,-0.111781,25,22.92857143,26.3,14.5
34,"Pancras Road, King's Cross",51.534123,-0.129386,16,24.82142857,28.2,16.375
340,"Bank of England Museum, Bank",51.514441,-0.087587,16,67.21428571,87.25,17.125
341,"Craven Street, Strand",51.508103,-0.126021,23,94.46428571,107.7,61.375
343,"London Zoo Car Park, The Regent's Park",51.536922,-0.150181,36,26.89285714,25.45,30.5
344,"Goswell Road (City Uni), Finsbury",51.528246,-0.101026,17,25.14285714,31.2,10
345,"Flood Street, Chelsea",51.488023,-0.166878,33,54.53571429,57.25,47.75
347,"Lower Marsh, Waterloo",51.500139,-0.113936,17,30.21428571,32.8,23.75
348,"Grosvenor Square, Mayfair",51.51217,-0.150481,17,27.78571429,30.15,21.875
349,"St. George Street, Mayfair",51.51196,-0.142783,18,25.78571429,30.75,13.375
350,"Queen's Gate, Kensington Gardens",51.501715,-0.179854,21,73.35714286,61.9,102
351,"Macclesfield Rd, St Lukes",51.529423,-0.097122,28,38.10714286,43.15,25.5
352,"Vauxhall Street, Vauxhall",51.486965,-0.116625,19,11.5,12.7,8.5
353,"Greycoat Street, Westminster",51.494591,-0.134234,17,16.03571429,18.5,9.875
354,"Northumberland Avenue, Strand",51.506767,-0.123702,37,46.03571429,48.95,38.75
355,"Oval Way, Vauxhall",51.486575,-0.117286,21,7.928571429,9.9,3
356,"South Kensington Station, South Kensington",51.494412,-0.173881,15,79.5,84.45,67.125
357,"Howland Street, Fitzrovia",51.520994,-0.139016,30,45.10714286,56,17.875
358,"High Holborn, Covent Garden",51.516226,-0.124826,20,34.21428571,39.2,21.75
359,"Butler Place, Westminster",51.497829,-0.13544,18,23.46428571,29.35,8.75
36,"De Vere Gardens, Kensington",51.501737,-0.18498,28,29.82142857,29.9,29.625
360,"Howick Place, Westminster",51.496753,-0.138733,27,61.57142857,75.95,25.625
361,"Waterloo Station 2, Waterloo",51.503919,-0.113426,55,100,133.2,17
362,"Royal College Street, Camden Town",51.536264,-0.133952,57,32.14285714,38.1,17.25
363,"Lord's, St. John's Wood",51.529121,-0.171185,24,6.464285714,6.5,6.375
364,"Alfred Place, Bloomsbury",51.519656,-0.132339,41,46,58.35,15.125
365,"City Road, Angel",51.530344,-0.100168,47,33.39285714,38.25,21.25
366,"Millennium Hotel, Mayfair",51.510919,-0.151126,27,20.78571429,25.4,9.25
367,"Harrowby Street, Marylebone",51.517372,-0.164207,16,19.35714286,21.1,15
368,"Harriet Street, Knightsbridge",51.500241,-0.15934,25,31.71428571,32.2,30.5
37,"Penywern Road, Earl's Court",51.491593,-0.192369,17,36.96428571,38.3,33.625
370,"Paddington Green, Paddington",51.520205,-0.174593,20,14,16.15,8.625
371,"King Edward Walk, Waterloo",51.49775,-0.10988,22,11.71428571,13.8,6.5
372,"Sardinia Street, Holborn",51.515208,-0.117863,24,32.25,40.3,12.125
373,"Prince Consort Road, Knightsbridge",51.499806,-0.176415,18,32.78571429,39.65,15.625
374,"Waterloo Station 1, Waterloo",51.504027,-0.113864,36,155.6785714,206.6,28.375
375,"Kensington Town Hall, Kensington",51.501945,-0.194392,18,14.75,17.8,7.125
376,"Millbank Tower, Pimlico",51.491884,-0.125674,24,50.53571429,51.95,47
377,"Waterloo Bridge, South Bank",51.505354,-0.113656,15,20.21428571,22.7,14
378,"Natural History Museum, South Kensington",51.495592,-0.179077,42,48.25,54.95,31.5
379,"Turquoise Island, Notting Hill",51.514311,-0.200838,21,33.85714286,30.5,42.25
38,"Abingdon Villas, Kensington",51.497387,-0.197245,17,19.96428571,22.25,14.25
